Market,Suscriber,Format,oct,nov,dec
Miami Ft Lauderdale,WFLC-FM HD2,80's Hits,0.1,0.1,0.2
Miami Ft Lauderdale,WRMF-FM,Adult Contemporary,1.2,1.1,1.4
Miami Ft Lauderdale,WLYF-FM,Adult Contemporary,5.1,5.0,5.3
Miami Ft Lauderdale,WFEZ-FM,Adult Contemporary,5.6,5.4,6.2
Miami Ft Lauderdale,WXBN-AM,All News,0.1,*,0.1
Miami Ft Lauderdale,WQAM-AM Stream,All Sports,0.1,*,0.1
Miami Ft Lauderdale,WQAM-AM,All Sports,1.6,1.5,1.2
Miami Ft Lauderdale,WMEN-AM,All Sports,0.2,0.2,0.2
Miami Ft Lauderdale,WKIS-FM HD2,All Sports,0.1,*,*
Miami Ft Lauderdale,WINZ-AM,All Sports,0.6,0.5,0.5
Miami Ft Lauderdale,WSFS-FM Stream,Alternative,*,*,0.2
Miami Ft Lauderdale,WSFS-FM,Alternative,1.7,2.3,2.1
Miami Ft Lauderdale,WMXJ-FM Stream,Classic Hits,*,*,0.1
Miami Ft Lauderdale,WMXJ-FM,Classic Hits,3.6,4.0,4.1
Miami Ft Lauderdale,WEAT-FM,Classic Hits,0.1,0.1,0.3
Miami Ft Lauderdale,WBGG-FM,Classic Rock,2.5,2.4,2.8
Miami Ft Lauderdale,WAYF-FM,Contemporary Christian,0.6,0.3,0.3
Miami Ft Lauderdale,WMIA-FM HD3,Country,0.1,*,0.1
Miami Ft Lauderdale,WKIS-FM Stream,Country,*,*,0.1
Miami Ft Lauderdale,WKIS-FM,Country,3.3,3.2,3.1
Miami Ft Lauderdale,WIRK-FM,Country,*,*,0.1
Miami Ft Lauderdale,WDNA-FM,Jazz,0.3,0.3,0.5
Miami Ft Lauderdale,WRMA-FM,Latino Urban,3.0,3.1,2.8
Miami Ft Lauderdale,WLRN-FM HD2 Stream,News Talk Information,*,*,0.1
Miami Ft Lauderdale,WLRN-FM HD2,News Talk Information,0.1,0.1,0.1
Miami Ft Lauderdale,WLRN-FM,News Talk Information,4.9,5.3,5.6
Miami Ft Lauderdale,WIOD-AM,News Talk Information,2.8,2.6,3.2
Miami Ft Lauderdale,WFTL-AM,News Talk Information,0.1,*,0.1
Miami Ft Lauderdale,WHYI-FM,Pop Contemporary Hit Radio,2.7,2.4,2.3
Miami Ft Lauderdale,WFLC-FM,Rhythmic AC,3.6,4.3,4.2
Miami Ft Lauderdale,WPOW-FM Stream,Rhythmic Contemporary Hit Radio,0.1,*,*
Miami Ft Lauderdale,WPOW-FM HD3,Rhythmic Contemporary Hit Radio,0.1,0.1,0.1
Miami Ft Lauderdale,WPOW-FM,Rhythmic Contemporary Hit Radio,3.6,3.5,2.8
Miami Ft Lauderdale,WURN-FM,Spanish Adult Hits,0.1,0.1,0.1
Miami Ft Lauderdale,WMIA-FM,Spanish Adult Hits,5.7,5.3,4.4
Miami Ft Lauderdale,WZTU-FM,Spanish Contemporary,2.8,2.9,2.8
Miami Ft Lauderdale,WRTO-FM,Spanish Contemporary,2.2,2.0,1.9
Miami Ft Lauderdale,WCMQ-FM Stream,Spanish Contemporary,0.3,0.2,0.2
Miami Ft Lauderdale,WCMQ-FM,Spanish Contemporary,4.8,4.0,3.9
Miami Ft Lauderdale,WAMR-FM,Spanish Contemporary,6.4,5.5,5.6
Miami Ft Lauderdale,WLFE-FM,Spanish Contemporary Christian,0.5,0.4,0.4
Miami Ft Lauderdale,WWFE-AM,Spanish News/Talk,0.8,0.8,0.8
Miami Ft Lauderdale,WURN-AM,Spanish News/Talk,2.1,2.0,1.7
Miami Ft Lauderdale,WSUA-AM,Spanish News/Talk,0.6,0.8,0.6
Miami Ft Lauderdale,WQBA-AM,Spanish News/Talk,0.2,0.3,0.3
Miami Ft Lauderdale,WAXY-AM,Spanish News/Talk,0.1,*,*
Miami Ft Lauderdale,WAQI-AM,Spanish News/Talk,1.6,1.6,1.2
Miami Ft Lauderdale,WZTU-FM HD2,Spanish Tropical,*,*,0.1
Miami Ft Lauderdale,WXDJ-FM Stream,Spanish Tropical,0.1,0.1,0.2
Miami Ft Lauderdale,WXDJ-FM,Spanish Tropical,2.6,2.8,3.1
Miami Ft Lauderdale,WMYM-AM,Spanish Variety,0.1,*,0.1
Miami Ft Lauderdale,WMIB-FM HD3,Urban Adult Contemporary,0.1,0.1,0.2
Miami Ft Lauderdale,WMBX-FM,Urban Adult Contemporary,0.1,*,0.1
Miami Ft Lauderdale,WHQT-FM,Urban Adult Contemporary,9.1,9.9,8.7
Miami Ft Lauderdale,WMIB-FM,Urban Contemporary,2.6,2.5,3.0
Miami Ft Lauderdale,WEDR-FM Stream,Urban Contemporary,0.1,0.3,0.4
Miami Ft Lauderdale,WEDR-FM,Urban Contemporary,2.9,2.4,2.1
Akron,WQMX-FM,Country,6.9,7.2,7.4
Akron,WZAK-FM,Urban Adult Contemporary,6.9,5.9,6.5
Akron,WONE-FM,Album Oriented Rock,5.8,5.4,5.6
Akron,WNIR-FM,News Talk Information,5.4,4.8,4.4
Akron,WKDD-FM,Hot Adult Contemporary,2.7,3.1,3.9
Akron,WENZ-FM,Urban Contemporary,4.2,4.1,3.4
Akron,WKSU-FM,News Talk Information,4.7,3.8,3.4
Akron,WAPS-FM,Album Adult Alternative,1.6,1.6,1.9
Akron,WCLV-FM,Classical,1.1,1.1,1.1
Akron,WHLO-AM,News Talk Information,1.3,1.1,1.1
Akron,WNWV-FM,Alternative,1.4,1.3,1.1
Akron,WAKR-AM,Adult Contemporary,1.1,0.7,0.9
Akron,WKDD-F2+,Contemporary Christian,0.7,0.7,0.9
ALBANY-SCHENECTADY-TROY,WYJB-FM,Holiday Music,5.9,5.0,7.5
ALBANY-SCHENECTADY-TROY,WGNA-FM,Country,5.9,6.2,5.8
ALBANY-SCHENECTADY-TROY,WFLY-FM,Pop Contemporary Hit Radio,5.2,5.7,5.7
ALBANY-SCHENECTADY-TROY,WPYX-FM,Classic Rock,5.8,5.5,5.2
ALBANY-SCHENECTADY-TROY,WRVE-FM,Hot Adult Contemporary,4.2,4.0,5.2
ALBANY-SCHENECTADY-TROY,WAMC-FM,News Talk Information,4.8,5.0,4.5
ALBANY-SCHENECTADY-TROY,WGY-AM,News Talk Information,4.6,4.6,4.2
ALBANY-SCHENECTADY-TROY,WAJZ-FM,Rhythmic Contemporary Hit Radio,3.4,4.0,4.0
ALBANY-SCHENECTADY-TROY,WTRY-FM,Classic Hits,3.1,3.0,3.8
ALBANY-SCHENECTADY-TROY,WQBK-FM,Classic Rock,3.8,4.2,3.6
ALBANY-SCHENECTADY-TROY,WMHT-FM,Classical,3.0,3.1,2.9
ALBANY-SCHENECTADY-TROY,WGDJ-AM,News Talk Information,3.9,3.2,2.2
ALBANY-SCHENECTADY-TROY,WROW-AM,Oldies,2.0,2.2,2.1
ALBANY-SCHENECTADY-TROY,WKLI-FM,New Country,1.6,1.8,1.9
ALBANY-SCHENECTADY-TROY,WQBK-FM HD2,Urban Contemporary,1.9,2.4,1.9
ALBANY-SCHENECTADY-TROY,WTMM-FM,All Sports,1.3,1.9,1.9
ALBANY-SCHENECTADY-TROY,WKKF-FM,Pop Contemporary Hit Radio,2.3,2.3,1.8
ALBANY-SCHENECTADY-TROY,WINU-FM,Classic Country,0.9,1.2,0.8
ALBANY-SCHENECTADY-TROY,WPBZ-FM,Hot Adult Contemporary,1.2,0.7,0.8
ALBANY-SCHENECTADY-TROY,WRVE-FM HD2,New Country,0.9,0.8,0.7
ALBANY-SCHENECTADY-TROY,WABY-AM,Active Rock,0.4,0.5,0.6
ALBANY-SCHENECTADY-TROY,WEXT-FM,Album Adult Alternative,0.7,0.7,0.6
ALBANY-SCHENECTADY-TROY,WAMC-FM Stream,News Talk Information,*,*,0.4
ALBANY-SCHENECTADY-TROY,WOFX-AM,All Sports,0.3,0.3,0.4
ALBANY-SCHENECTADY-TROY,WVTL-AM,Classic Country,*,*,0.4
ALBANY-SCHENECTADY-TROY,WAMC-AM,News Talk Information,0.1,0.4,0.3
ALBANY-SCHENECTADY-TROY,WBUG-FM,Country,*,*,0.3
ALBANY-SCHENECTADY-TROY,WFFG-FM,Country,0.8,0.4,0.3
ALBANY-SCHENECTADY-TROY,WEXT-FM Stream,Album Adult Alternative,*,*,0.1
ALBANY-SCHENECTADY-TROY,WMHT-FM HD2,Album Adult Alternative,*,*,0.1
ALBANY-SCHENECTADY-TROY,WMHT-FM Stream,Classical,*,*,0.1
ALBANY-SCHENECTADY-TROY,WNYQ-FM,Classic Hits,0.1,0.1,0.1
ALBANY-SCHENECTADY-TROY,WSKS-FM,Pop Contemporary Hit Radio,*,*,0.1
"ALBANY, GA",WJIZ-FM,Urban Contemporary,21.2,20.9,21.3
"ALBANY, GA",WMRZ-FM,Urban Adult Contemporary,13.1,14.4,12.5
"ALBANY, GA",WOBB-FM,Country,5.1,5.0,3.7
"ALBANY, GA",WGEX-FM,Pop Contemporary Hit Radio,3.6,4.3,2.9
"ALBANY, GA",WJYZ-AM,Gospel,2.2,2.9,2.9
"ALBANY, GA",WJST-FM,Classic Hits,1.5,*,0.7
ALBUQUERQUE,KIOT-FM,Classic Rock,4.2,5.2,5.2
ALBUQUERQUE,KKSS-FM,Rhythmic Contemporary Hit Radio,5.2,4.7,5.1
ALBUQUERQUE,KZRR-FM,Mainstream Rock,5.1,4.9,4.9
ALBUQUERQUE,KKOB-AM,News Talk Information,4.5,4.9,4.8
ALBUQUERQUE,KRST-FM,Country,4.3,4.9,4.8
ALBUQUERQUE,KANW-FM,Spanish Variety,3.9,3.9,4.4
ALBUQUERQUE,KPEK-FM,Hot Adult Contemporary,4.8,4.2,3.9
ALBUQUERQUE,KABG-FM,Classic Hits,4.6,3.9,3.4
ALBUQUERQUE,KBQI-FM,Country,3.1,3.5,3.2
ALBUQUERQUE,KOBQ-FM,Pop Contemporary Hit Radio,3.7,3.1,3.2
ALBUQUERQUE,KMGA-FM,Adult Contemporary,3.0,2.9,2.7
ALBUQUERQUE,KDRF-FM,Adult Hits,2.4,2.0,2.4
ALBUQUERQUE,KUNM-FM,Variety,3.0,2.6,2.4
ALBUQUERQUE,KABQ-FM,Rhythmic Oldies,2.7,2.2,2.3
ALBUQUERQUE,KBQI-F2+,Classic Country,3.0,2.9,2.3
ALBUQUERQUE,KHFM-FM,Classical,2.5,3.1,2.1
ALBUQUERQUE,KLVO-FM,Mexican Regional,2.5,2.0,2.1
ALBUQUERQUE,KOAZ-AM,New AC (NAC)/Smooth Jazz,1.2,2.3,2.0
ALBUQUERQUE,KTEG-FM,Alternative,1.5,1.7,2.0
ALBUQUERQUE,KRZY-FM,Spanish Adult Hits,1.9,1.7,1.8
ALBUQUERQUE,KXOT-FM,Mexican Regional,1.5,1.6,1.4
ALBUQUERQUE,KKRG-FM,Hot Adult Contemporary,1.5,1.0,1.3
ALBUQUERQUE,KABG-F2+,Spanish Contemporary,1.3,0.6,1.0
ALBUQUERQUE,KTBL-AM,Active Rock,1.3,1.3,0.8
ALBUQUERQUE,KYLZ-FM,Urban Contemporary,0.7,0.9,0.7
ALBUQUERQUE,KNML-AM,All Sports,0.4,0.7,0.6
ALBUQUERQUE,KANW-F2+,News Talk Information,0.3,0.3,0.4
ALBUQUERQUE,KNFZ-FM,Spanish Contemporary Christian,0.3,0.3,0.4
ALBUQUERQUE,KZRR-F2+,Urban Contemporary,0.6,0.3,0.4
ALLENTOWN-BETHLEHEM,WODE-FM,Classic Rock,13.6,13.0,10.2
ALLENTOWN-BETHLEHEM,WCTO-FM,Country,7.6,7.4,8.6
ALLENTOWN-BETHLEHEM,WAEB-FM,Pop Contemporary Hit Radio,8.1,8.4,7.9
ALLENTOWN-BETHLEHEM,WTKZ-AM,Spanish Tropical,4.0,5.3,5.9
ALLENTOWN-BETHLEHEM,WLEV-FM,Adult Contemporary,3.6,4.2,5.6
ALLENTOWN-BETHLEHEM,WZZO-FM,Active Rock,5.0,4.6,5.0
ALLENTOWN-BETHLEHEM,WAEB-AM,News Talk Information,3.7,3.2,3.2
ALLENTOWN-BETHLEHEM,WHOL-AM,Rhythmic Contemporary Hit Radio,1.6,1.3,1.3
ALLENTOWN-BETHLEHEM,WSAN-AM,Oldies,1.1,1.3,1.3
ALLENTOWN-BETHLEHEM,WHYY-FM,News Talk Information,0.9,1.0,1.0
ALLENTOWN-BETHLEHEM,WMMR-FM,Album Oriented Rock,0.6,0.6,0.7
ALLENTOWN-BETHLEHEM,WWYY-FM,Country,0.6,0.4,0.3
ALLENTOWN-BETHLEHEM,WEEX-AM,All Sports,0.1,0.1,0.1
"MARILLO, TX",KXGL-FM,Classic Hits,12.3,12.4,9.5
"MARILLO, TX",KGNC-FM,Country,6.0,5.1,5.8
"MARILLO, TX",KMXJ-FM,Adult Contemporary,6.3,5.8,5.8
"MARILLO, TX",KXSS-FM,Pop Contemporary Hit Radio,7.1,6.6,5.8
"MARILLO, TX",KATP-FM,Country,6.3,5.8,5.0
"MARILLO, TX",KPRF-FM,Classic Hits,3.7,4.4,5.0
"MARILLO, TX",KGNC-AM,News Talk Information,3.0,2.6,2.5
"MARILLO, TX",KIXZ-AM,News Talk Information,1.5,2.2,2.1
"MARILLO, TX",KVWE-FM,All Sports,0.4,0.4,0.4
ANCHORAGE,KSKA-FM,News Talk Information,13.2,9.5,11.1
ANCHORAGE,KBFX-FM,Classic Rock,6.6,5.8,8.9
ANCHORAGE,KGOT-FM,Pop Contemporary Hit Radio,6.6,8.4,6.7
ANCHORAGE,KWHL-FM,Active Rock,7.1,5.3,6.1
ANCHORAGE,KYMG-FM,Adult Contemporary,4.1,8.4,5.6
ANCHORAGE,KEAG-FM,Classic Hits,3.6,3.2,3.9
ANCHORAGE,KMXS-FM,Hot Adult Contemporary,3.0,4.2,3.9
ANCHORAGE,KBRJ-FM,Country,3.6,2.6,3.3
ANCHORAGE,KENI-AM,News Talk Information,3.6,3.7,2.8
ANCHORAGE,KFQD-AM,News Talk Information,2.0,3.2,2.8
ANCHORAGE,KNBA-FM,Album Adult Alternative,2.5,2.1,2.8
ANCHORAGE,KASH-FM,Country,2.0,2.6,2.2
ANCHORAGE,KHAR-AM,Adult Standards/MOR,1.0,1.1,0.6
ANCHORAGE,KTZN-AM,All Sports,1.0,1.1,0.6
"ANN ARBOR, MI",WUOM-FM,News Talk Information,13.8,13.1,11.0
"ANN ARBOR, MI",WEMU-FM,Variety,3.1,3.1,3.5
"ANN ARBOR, MI",WWWW-FM,Country,5.8,4.8,3.5
"ANN ARBOR, MI",WQKL-FM,Album Adult Alternative,3.6,3.5,2.5
"ANN ARBOR, MI",WTKA-AM,All Sports,0.9,0.4,0.5
"ANN ARBOR, MI",WLBY-AM,Talk/Personality,*,*,*
APPLETON-OSHKOSH,WNCY-FM,Country,10.3,10.1,14.1
APPLETON-OSHKOSH,WAPL-FM,Classic Rock,6.8,6.1,8.3
APPLETON-OSHKOSH,WIXX-FM,Pop Contemporary Hit Radio,9.0,14.8,7.2
APPLETON-OSHKOSH,WKSZ-FM,Pop Contemporary Hit Radio,3.5,3.6,5.3
APPLETON-OSHKOSH,WVBO-FM,Classic Hits,7.6,6.1,4.7
APPLETON-OSHKOSH,WGEE-FM,Classic Country,4.6,3.9,4.2
APPLETON-OSHKOSH,WYDR-FM,Adult Hits,6.0,3.9,3.9
APPLETON-OSHKOSH,WHBY-AM,News Talk Information,3.8,2.2,3.6
APPLETON-OSHKOSH,WTAQ-AM,News Talk Information,2.2,2.0,2.5
APPLETON-OSHKOSH,WZOR-FM,Active Rock,2.4,1.7,2.5
APPLETON-OSHKOSH,WOSH-AM,News Talk Information,0.8,1.7,2.2
APPLETON-OSHKOSH,WEMI-FM,Contemporary Christian,1.6,2.8,1.9
APPLETON-OSHKOSH,WPKR-FM,Country,1.1,2.0,1.7
APPLETON-OSHKOSH,WPNE-FM,News Talk Information,1.4,2.0,1.7
APPLETON-OSHKOSH,WNAM-AM,Adult Standards/MOR,1.1,1.1,1.4
APPLETON-OSHKOSH,WSCO-AM,All Sports,0.8,0.6,1.1
APPLETON-OSHKOSH,WWWX-FM,Alternative,2.4,2.5,1.1
APPLETON-OSHKOSH,WFZZ-FM+,Alternative,1.4,0.8,0.8
APPLETON-OSHKOSH,WHID-FM,Classical,1.1,0.8,
ASHEVILLE,WKSF-FM,New Country,10.9,13.0,16.2
ASHEVILLE,WCQS-FM,News Talk Information,8.1,7.4,11.3
ASHEVILLE,WNCW-FM,Album Adult Alternative,7.3,4.3,5.3
ASHEVILLE,WWNC-AM,News Talk Information,2.8,2.2,5.3
ASHEVILLE,WTMT-FM,Classic Rock,7.3,6.9,4.5
ASHEVILLE,WQNQ-FM,Pop Contemporary Hit Radio,3.6,3.0,2.6
ASHEVILLE,WOXL-FM,Hot Adult Contemporary,3.2,5.2,2.3
ASHEVILLE,WOXL-FM HD2,Album Adult Alternative,2.0,1.3,2.3
ASHEVILLE,WKSF-FM HD2,Adult Hits,3.2,2.6,1.9
ASHEVILLE,WQNS-FM,Active Rock,2.0,1.7,1.9
ASHEVILLE,WTMT-FM HD3,Classic Country,0.8,2.2,1.9
ASHEVILLE,WQNQ-FM HD2,Alternative,0.4,1.3,1.5
ASHEVILLE,WLFA-FM,Contemporary Christian,1.2,2.2,1.1
ASHEVILLE,WSFM-FM,Variety,0.4,1.3,1.1
ASHEVILLE,WPEK-AM,All Sports,0.4,0.9,0.8
ASHEVILLE,WTMT-FM HD2,Classic Hits,1.2,1.3,0.8
ASHEVILLE,WYQS-FM,Variety,0.8,2.6,0.8
ASHEVILLE,WISE-AM,All Sports,*,0.4,0.4
ASHEVILLE,WLFJ-FM,Contemporary Christian,*,0.4,0.4
ASHEVILLE,WNCW-FM Stream,Album Adult Alternative,0.4,0.4,*
ASHEVILLE,WOXL-FM HD3,Spanish Contemporary,0.8,0.9,*
Atlanta,WSB-AM,News Talk Information,10.1,10.3,9.1
Atlanta,WALR-FM,Urban Adult Contemporary,6.3,5.7,7.8
Atlanta,WSRV-FM,Classic Hits,7.7,7.0,7.1
Atlanta,WAMJ-FM,Urban Adult Contemporary,5.5,6.0,6.7
Atlanta,WFSH-FM,Adult Contemporary,4.4,4.8,6.5
Atlanta,WVEE-FM,Urban Contemporary,5.6,5.5,5.5
Atlanta,WSB-FM,Adult Contemporary,5.6,5.2,5.0
Atlanta,WPZE-FM,Contemporary Inspirational,3.6,4.0,4.6
Atlanta,WABE-FM,News Talk Information,4.3,4.8,4.4
Atlanta,WRDG-FM,Urban Contemporary,1.9,2.0,3.4
Atlanta,WHTA-FM,Urban Contemporary,3.7,3.9,3.2
Atlanta,WUBL-FM,Country,3.3,3.7,3.2
Atlanta,WZGC-FM,All Sports,3.4,3.0,3.1
Atlanta,WWWQ-FM,Pop Contemporary Hit Radio,3.6,3.3,3.0
Atlanta,WKHX-FM,Country,3.1,2.8,2.7
Atlanta,WNNX-FM,Alternative,3.1,2.9,2.3
Atlanta,WSTR-FM,Rhythmic AC,2.8,3.0,2.3
Atlanta,WWSZ-AM,Urban Contemporary,1.8,1.6,1.9
Atlanta,WAMJ-FM HD2,Urban Oldies,1.5,1.6,1.5
Atlanta,WVFJ-FM,Contemporary Christian,1.0,1.0,1.2
Atlanta,WCNN-AM,All Sports,3.3,1.5,1.0
Atlanta,WBZY-FM,Spanish Contemporary,0.9,0.6,0.9
Atlanta,WWWQ-FM HD3,Urban Oldies,0.9,0.8,0.9
Atlanta,WFOM-AM,News Talk Information,0.5,0.7,0.8
Atlanta,WCLK-FM,Jazz,0.7,0.6,0.7
Atlanta,WRAS-FM,News Talk Information,0.5,0.7,0.5
Atlanta,WWPW-FM,Pop Contemporary Hit Radio,0.4,0.7,0.5
Atlanta,WLKQ-FM,Mexican Regional,0.1,0.4,0.4
Atlanta,WZGC-FM Stream,All Sports,0.5,0.9,0.4
Atlanta,WGKA-AM,News Talk Information,0.2,0.2,0.3
Atlanta,WVEE-FM Stream,Urban Contemporary,0.1,0.1,0.3
Atlanta,WCHK-AM,Spanish Hot Adult Contemporary,0.3,0.2,0.2
Atlanta,WABE-FM HD2,Classical,*,*,0.1
Atlanta,WAOK-AM,News Talk Information,0.1,*,0.1
Atlanta,WDWD-AM,Religious,*,*,0.1
Atlanta,WJSP-FM,Variety,*,*,0.1
Atlanta,WJZA-AM,New AC (NAC)/Smooth Jazz,*,*,0.1
Atlanta,WVEE-FM HD2,World Ethnic,*,*,0.1
Atlanta,WSB-FM Stream,Adult Contemporary,0.9,0.3,*
ATLANTIC CITY-CAPE MAY,WPUR-FM,Country,7.8,4.8,6.0
ATLANTIC CITY-CAPE MAY,WFPG-FM,Adult Contemporary,5.0,6.3,4.8
ATLANTIC CITY-CAPE MAY,WTTH-FM,Urban Adult Contemporary,3.1,4.4,4.8
ATLANTIC CITY-CAPE MAY,WZXL-FM,Classic Rock,3.8,5.4,4.8
ATLANTIC CITY-CAPE MAY,WAYV-FM,Hot Adult Contemporary,3.4,5.7,4.5
ATLANTIC CITY-CAPE MAY,WPGG-AM,News Talk Information,2.5,2.2,4.3
ATLANTIC CITY-CAPE MAY,WZBZ-FM,Rhythmic Contemporary Hit Radio,5.0,4.1,4.3
ATLANTIC CITY-CAPE MAY,WIBG-FM,Classic Hits,3.1,2.2,2.6
ATLANTIC CITY-CAPE MAY,WENJ-FM,All Sports,2.2,2.9,2.0
ATLANTIC CITY-CAPE MAY,WSJO-FM,Hot Adult Contemporary,1.6,2.2,1.7
ATLANTIC CITY-CAPE MAY,WCZT-FM,Hot Adult Contemporary,0.6,1.3,1.1
ATLANTIC CITY-CAPE MAY,WENJ-FM HD2+,Spanish Adult Hits,2.5,0.3,0.9
ATLANTIC CITY-CAPE MAY,WKNZ-FM,Christian Adult Contemporary,0.6,0.6,0.9
ATLANTIC CITY-CAPE MAY,WKOE-FM+,Alternative,0.3,0.6,0.6
ATLANTIC CITY-CAPE MAY,WENJ-FM HD4,Classic Rock,0.3,0.6,0.3
ATLANTIC CITY-CAPE MAY,WWAC-AM,Country,*,*,0.3
"AUGUSTA, GA",WKSP-FM,Urban Adult Contemporary,11.7,10.9,10.1
"AUGUSTA, GA",WBBQ-FM,Adult Contemporary,5.2,8.6,7.5
"AUGUSTA, GA",WPRW-FM,Urban Contemporary,7.5,5.7,6.9
"AUGUSTA, GA",WKXC-FM,New Country,5.8,5.9,6.0
"AUGUSTA, GA",WAFJ-FM,Contemporary Christian,6.3,6.4,4.7
"AUGUSTA, GA",WLUB-FM,Country,2.9,2.3,4.5
"AUGUSTA, GA",WDRR-FM,Adult Hits,3.8,5.5,4.3
"AUGUSTA, GA",WGAC-AM,News Talk Information,5.8,2.7,3.9
"AUGUSTA, GA",WHHD-FM,Pop Contemporary Hit Radio,3.1,2.7,3.0
"AUGUSTA, GA",WCHZ-FM,Urban Oldies,2.1,2.3,1.9
"AUGUSTA, GA",WLJK-FM,News Talk Information,1.3,1.4,1.5
"AUGUSTA, GA",WLUB-FM HD2,Classic Rock,1.9,1.6,0.9
"AUGUSTA, GA",WAAW-FM,All Sports,1.3,0.7,0.4
"AUGUSTA, GA",WBIJ-FM,Contemporary Christian,*,0.2,0.2
"AUGUSTA, GA",WLTR-FM,Classical,0.2,*,*
"AUGUSTA, GA",WYNF-AM,All News,*,0.2,*
"AUGUSTA-WATERVILLE, ME",WFMX-FM,Adult Contemporary,7.6,8.0,7.2
"AUGUSTA-WATERVILLE, ME",WMME-FM,Pop Contemporary Hit Radio,6.7,7.0,7.2
"AUGUSTA-WATERVILLE, ME",WVQM-FM,News Talk Information,5.7,4.0,7.2
"AUGUSTA-WATERVILLE, ME",WABK-FM,Classic Hits,5.7,7.0,5.2
"AUGUSTA-WATERVILLE, ME",WCTB-FM,Country,4.8,4.0,5.2
"AUGUSTA-WATERVILLE, ME",WMEA-FM,Educational,5.7,5.0,5.2
"AUGUSTA-WATERVILLE, ME",WEBB-FM,Country,8.6,7.0,4.1
"AUGUSTA-WATERVILLE, ME",WTOS-FM,Album Oriented Rock,6.7,6.0,4.1
"AUGUSTA-WATERVILLE, ME",WBQA-FM,Classical,1.9,3.0,3.1
"AUGUSTA-WATERVILLE, ME",WVOM-FM,News Talk Information,*,1.0,1.0
"AUGUSTA-WATERVILLE, ME",WBAK-FM,Classic Hits,*,*,*
"AUGUSTA-WATERVILLE, ME",WBFB-FM,Country,1.0,*,*
"AUGUSTA-WATERVILLE, ME",WQSS-FM,Adult Contemporary,1.0,1.0,*
AUSITN,KBPA-FM,Adult Hits,12.2,11.2,9.6
AUSITN,KUT-FM,News Talk Information,9.5,10.0,9.6
AUSITN,KKMJ-FM,Adult Contemporary,4.6,4.5,7.1
AUSITN,KLBJ-AM,News Talk Information,5.5,6.1,5.3
AUSITN,KASE-FM,Country,5.9,5.7,4.7
AUSITN,KHFI-FM,Pop Contemporary Hit Radio,5.3,3.3,4.4
AUSITN,KUTX-FM,Album Adult Alternative,4.2,4.2,4.2
AUSITN,KVET-FM,Country,4.5,4.9,3.7
AUSITN,KAMX-FM,Hot Adult Contemporary,3.4,3.5,3.6
AUSITN,KLZT-FM,Mexican Regional,2.9,3.2,3.5
AUSITN,KLBJ-FM,Classic Rock,3.1,3.0,2.9
AUSITN,KLQB-FM,Mexican Regional,2.5,2.7,2.9
AUSITN,KPEZ-FM,Rhythmic Contemporary Hit Radio,3.4,3.4,2.9
AUSITN,KJFK-AM,Adult Hits,1.6,1.9,2.5
AUSITN,KROX-FM,Alternative,3.4,3.3,2.5
AUSITN,KMFA-FM,Classical,1.6,1.5,2.3
AUSITN,KKMJ-FM HD3,Classic Country,0.7,1.1,2.1
AUSITN,KTSN-AM,Album Adult Alternative,1.6,1.5,1.5
AUSITN,KBPA-FM HD2,All Sports,1.6,1.3,1.4
AUSITN,KGSR-FM,Urban Adult Contemporary,1.7,1.6,1.4
AUSITN,KMFA-FM Stream,Classical,1.0,0.8,0.9
AUSITN,KKMJ-FM Stream,Adult Contemporary,*,0.2,0.8
AUSITN,KUTX-FM HD2 Stream,Album Adult Alternative,0.6,0.6,0.7
AUSITN,KVET-AM,All Sports,0.4,0.4,0.7
AUSITN,KLJA-FM,Spanish Variety,0.6,0.6,0.6
AUSITN,KLZT-FM HD2,Spanish Contemporary,0.2,1.1,0.6
AUSITN,KASE-FM HD2,Alternative,0.4,0.4,0.4
AUSITN,KHFI-FM HD2,80's Hits,0.2,0.2,0.2
AUSITN,KGSR-FM HD2,Album Adult Alternative,0.2,0.1,0.1
AUSITN,KJCE-AM,News Talk Information,0.1,0.1,0.1
BAKERSFIELD,KISV-FM,Rhythmic Contemporary Hit Radio,7.2,7.8,8.2
BAKERSFIELD,KIWI-FM,Mexican Regional,5.2,6.2,8.1
BAKERSFIELD,KUZZ-FM,Country,6.1,6.6,7.4
BAKERSFIELD,KDFO-FM,Classic Rock,3.8,4.6,4.0
BAKERSFIELD,KKBB-FM,Rhythmic Oldies,4.4,4.1,4.0
BAKERSFIELD,KEBT-FM,Mexican Regional,3.8,3.0,3.6
BAKERSFIELD,KRAB-FM,Alternative,2.8,3.5,3.2
BAKERSFIELD,KGFM-FM,Adult Hits,4.4,4.1,3.0
BAKERSFIELD,KMYX-FM,Mexican Regional,4.4,3.5,3.0
BAKERSFIELD,KCWR-FM,Classic Country,2.6,3.0,2.9
BAKERSFIELD,KKXX-FM,Pop Contemporary Hit Radio,2.8,2.8,2.9
BAKERSFIELD,KPSL-FM,Spanish Tropical,2.3,2.1,2.4
BAKERSFIELD,KXTT-FM,Spanish Adult Hits,1.5,1.9,2.4
BAKERSFIELD,KLLY-FM,Pop Contemporary Hit Radio,2.3,2.2,2.1
BAKERSFIELD,KNZR-FM,News Talk Information,1.5,1.4,1.8
BAKERSFIELD,KBFP-FM,Adult Contemporary,1.8,2.1,1.7
